user_id,subscription_type,final_journey
172645,Annual,Sign up-Pricing-Checkout-Homepage-Sign up-Checkout-Coupon-Checkout-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon
182313,Annual,Resources center-Log in-Resources center-Log in-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Log in-Log in-Coupon
185224,Annual,Log in-Log in-Homepage-Log in-Homepage-Log in-Checkout
185236,Annual,Homepage-Course certificate-Courses-Courses-Log in-Log in-Log in-Sign up-Courses-Sign up-Log in-Checkout
185890,Annual,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Coupon-Log in-Resources center-Other-Coupon-Log in-Pricing-Career track certificate-Career tracks-Sign up-Log in-Coupon-Log in-Coupon
188451,Annual,Checkout-Homepage-Log in-Checkout
191962,Annual,Log in-Homepage-Log in-Homepage-About us-Other-Other-Other
195227,Annual,Log in-Log in-Resources center-Other-Other-Sign up-Blog-Other-Resources center-Coupon-Coupon-Checkout-Coupon-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Career tracks-Sign up-Coupon
202020,Annual,Homepage-Log in-Homepage-Log in-Log in-Homepage-Log in-Log in-Homepage-Log in-Log in-Log in-Other-Log in-Homepage-Log in-Checkout-Coupon
203365,Annual,Homepage-Career track certificate-Sign up-Homepage-Courses-Upcoming courses-Log in-Homepage-Sign up-Log in-Log in-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Homepage-Courses-Log in-Other-Coupon-Homepage-Pricing-Homepage-Career track certificate-Log in-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Checkout-Coupon-Coupon-Coupon
204731,Annual,Other-Log in
209680,Annual,Homepage-Log in-Sign up-Log in-Other-Log in-Homepage-Log in-Other-Log in-Log in-Log in-Log in-Checkout-Checkout-Checkout-Other-Log in-Resources center-Other-Log in-Log in-Checkout-Checkout
212532,Annual,Coupon-Homepage-Log in-Other-Coupon
217381,Annual,Coupon
219706,Monthly,Other-Homepage-Pricing-Sign up-Career tracks-Pricing-Checkout-Checkout-Pricing-Checkout-Pricing-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
220511,Annual,Pricing-Log in-Homepage-Log in-Log in-Coupon-Checkout
220744,Annual,Coupon-Coupon-Coupon
222389,Annual,Other-Career track certificate-Course certificate-Sign up-Log in-Homepage-Pricing-Checkout-Checkout-Coupon-Coupon-Log in-Checkout-Checkout-Homepage-Career track certificate-Career tracks-Homepage-Homepage-Career track certificate-Homepage-Career tracks-Homepage-Other-Pricing-Checkout-Homepage-Checkout-Pricing-Checkout-Homepage-Pricing-Checkout-Other-Pricing-Pricing-Checkout-Homepage-Log in-Checkout-Checkout
223121,Monthly,Homepage-Pricing-Other-Pricing-Career tracks-Pricing-Sign up-Sign up-Log in-Log in-Log in-Log in-Coupon
223597,Monthly,Other-Log in-Homepage-Sign up-Homepage-Log in-Pricing-Log in-Homepage-Log in-Log in-Coupon
223721,Annual,Log in-Log in-Homepage-Log in-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Log in-Checkout
223777,Monthly,Log in-Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Checkout-Checkout-Checkout
223883,Annual,Other-Log in-Log in-Homepage-Log in-Checkout-Homepage-Log in-Log in-Checkout-Log in-Log in-Log in-Log in-Other-Course certificate-Career track certificate-Checkout-Log in-Log in-Homepage-Log in-Log in-Other-Other-Homepage-Log in-Checkout
226950,Annual,Log in-Other-Homepage-Log in-Coupon
227784,Annual,Course certificate-Career track certificate-Career tracks-Course certificate-Homepage-Pricing-Sign up-Log in-Checkout
227846,Annual,Coupon
228059,Annual,Log in-Log in-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Courses-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Sign up-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Checkout-Log in-Coupon-Log in-Checkout
229602,Annual,Other-Coupon-Coupon
230961,Annual,Other-Homepage-Sign up-Log in-Homepage-Log in-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Homepage-Log in-Checkout-Checkout-Homepage-Log in-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
233544,Annual,Homepage-Log in-Homepage-Log in-Log in-Log in-Log in-Checkout-Checkout-Log in-Log in-Checkout
235712,Annual,Log in-Homepage-Career track certificate-Homepage-Pricing-Career tracks-Sign up-Homepage-Pricing-Homepage-Pricing-Pricing-Log in-Homepage-Career tracks-Career tracks-Courses-Career tracks-Courses-Log in-Log in-Log in-Log in-Log in-Homepage-Log in-Checkout
236893,Quarterly,Homepage-Pricing-Log in-Homepage-Pricing-Courses-Success stories-Homepage-Sign up-Log in-Homepage-Pricing-Homepage-Pricing-Log in-Checkout
237247,Annual,Homepage-Log in-Checkout
244110,Annual,Coupon-Homepage-Career tracks-Sign up-Other-Log in-Homepage-Log in-Homepage-Course certificate-Sign up-Log in-Other-Blog-Log in-Checkout
244693,Annual,Homepage-Log in-Homepage-Log in-Homepage-Pricing-Log in-Log in-Coupon
247070,Annual,Homepage-Pricing-Blog-Other-Log in-Homepage-Course certificate-Career track certificate-Homepage-Log in-Checkout
248835,Annual,Homepage-Log in-Other-Homepage-Log in-Coupon-Coupon-Homepage-Pricing-Career tracks-Log in-Homepage-Log in-Coupon
249736,Annual,Log in-Other-Sign up-Log in-Courses-Log in-Log in-Homepage-Log in-Courses-Log in-Homepage-Log in-Homepage-Courses-Career track certificate-Upcoming courses-Upcoming courses-Log in-Checkout-Checkout
250430,Annual,Coupon
253512,Annual,Log in-Log in-Checkout-Checkout-Homepage-Sign up-Log in-Checkout
255892,Annual,Pricing-Log in-Pricing-Log in-Courses-Log in-Log in-Homepage-Log in-Homepage-Log in-Checkout
